PID,Data0,Data1,Seq
0x04,E7,00,152
0x10,04,A3,76
0x42,37,50,76
0x05,72,00,38
0x23,15,D6,38
0x1F,00,77,19
0x0C,0C,18,229
0x0D,12,00,229
0x11,B2,00,153
0x0F,42,00,153
0x04,F9,00,153
0x0C,0D,03,230
0x0D,12,00,230
0x0C,0D,9C,231
0x0D,12,00,231
0x11,B2,00,154
0x0F,42,00,154
0x04,91,00,154
0x10,06,84,77
0x42,36,EE,77
0x0C,10,19,232
0x0D,14,00,232
0x11,78,00,155
0x0F,42,00,155
0x04,08,00,155
0x0C,0F,51,233
0x0D,15,00,233
0x0C,0F,6A,234
0x0D,15,00,234
0x11,49,00,156
0x0F,42,00,156
0x04,16,00,156
0x10,07,62,78
0x42,37,29,78
0x05,72,00,39
0x23,11,6D,39
0x0C,14,1A,235
0x0D,15,00,235
0x11,41,00,157
0x0F,42,00,157
0x04,32,00,157
0x0C,15,9B,236
0x0D,15,00,236
0x0C,15,08,237
0x0D,15,00,237
0x11,42,00,158
0x0F,42,00,158
0x04,31,00,158
0x10,09,CA,79
0x42,36,A0,79
0x0C,15,75,238
0x0D,15,00,238
0x11,68,00,159
0x0F,42,00,159
0x04,4B,00,159
0x0C,16,12,239
0x0D,15,00,239
0x0C,16,C4,240
0x0D,17,00,240
0x11,66,00,160
0x0F,42,00,160
0x04,43,00,160
0x10,0D,64,80
0x42,36,65,80
0x05,72,00,40
0x23,20,EC,40
0x1F,00,7B,20
0x0C,17,3E,241
0x0D,17,00,241
0x11,53,00,161
0x0F,42,00,161
0x04,28,00,161
0x0C,17,FF,242
0x0D,16,00,242
0x0C,17,5D,243
0x0D,17,00,243
0x11,45,00,162
0x0F,42,00,162
0x04,00,00,162
0x10,0B,81,81
0x42,36,C7,81
0x0C,12,97,244
0x0D,18,00,244
0x11,3A,00,163
0x0F,42,00,163
0x04,00,00,163
0x0C,0D,DA,245
0x0D,18,00,245
0x0C,0D,BE,246
0x0D,18,00,246
0x11,36,00,164
0x0F,42,00,164
0x04,2B,00,164
0x10,05,62,82
0x42,36,EE,82
0x05,72,00,41
0x23,12,06,41
