PID,Data0,Data1,Seq
0x04,50,00,158
0x10,05,8F,79
0x42,37,3C,79
0x0C,0D,00,238
0x0D,0B,00,238
0x11,5C,00,159
0x0F,3D,00,159
0x04,4E,00,159
0x0C,0D,38,239
0x0D,0B,00,239
0x0C,0D,48,240
0x0D,0A,00,240
0x11,61,00,160
0x0F,3D,00,160
0x04,4D,00,160
0x10,06,2D,80
0x42,36,8C,80
0x05,59,00,40
0x23,14,E2,40
0x1F,00,FB,20
0x0C,0D,3E,241
0x0D,0B,00,241
0x11,60,00,161
0x0F,3D,00,161
0x04,43,00,161
0x0C,0D,7D,242
0x0D,0C,00,242
0x0C,0E,03,243
0x0D,0C,00,243
0x11,51,00,162
0x0F,3D,00,162
0x04,30,00,162
0x10,06,97,81
0x42,36,EE,81
0x0C,0E,3B,244
0x0D,0E,00,244
0x11,43,00,163
0x0F,3D,00,163
